timestamp	x	y	height	height_max	area_3d	leaf_area_index	leaf_inclination	digital_biomass	leaf_angle	proj_area	light_pen_depth	ndvi_aver	ndvi_bin0	ndvi_bin1	ndvi_bin2	ndvi_bin3	ndvi_bin4	ndvi_bin5	greenness_aver	greenness_bin0	greenness_bin1	greenness_bin2	greenness_bin3	greenness_bin4	greenness_bin5	hue_aver	hue_bin0	hue_bin1	hue_bin2	hue_bin3	hue_bin4	hue_bin5	npci_aver	npci_bin0	npci_bin1	npci_bin2	npci_bin3	npci_bin4	npci_bin5	psri_aver	psri_bin0	psri_bin1	psri_bin2	psri_bin3	psri_bin4	psri_bin5		Pot	Treatment	Experiment
timestamp	int	int	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	real	
20211221T170732	0	0	351.655	413.721	73169.477	0.321	1.31994	25730432.000	49.253	46187.102	249.222	0.72876	0.00037	0.00021	0.00449	0.03388	0.96105	0.00000	0.36813	0.00103	0.00071	0.00937	0.81528	0.17361	0.00000	111.51278	0.00133	0.07666	0.91264	0.00601	0.00336	0.00000	0.14115	0.00118	0.00640	0.26502	0.63840	0.08901	0.00000	0.02675	0.00029	0.00067	0.27193	0.72411	0.00231	0.00069		NPEC54.Lucia.BA1.A075	41	13
20211221T170732	0	1	503.964	524.300	62498.965	0.274	1.31163	31497220.000	49.676	39874.672	328.398	0.71443	0.00026	0.00014	0.00395	0.03753	0.95812	0.00000	0.40019	0.00112	0.00103	0.00831	0.82181	0.16773	0.00000	109.77699	0.00170	0.06050	0.92929	0.00548	0.00303	0.00000	0.15725	0.00065	0.00756	0.18727	0.74209	0.06244	0.00000	0.04102	0.00044	0.00078	0.19444	0.80123	0.00243	0.00068		NPEC54.Lucia.BA2.A074	41	13
20211221T170732	0	2	223.223	422.622	43071.133	0.189	1.26758	9614468.000	52.082	29573.145	150.612	0.73245	0.00037	0.00034	0.00600	0.02372	0.96958	0.00000	0.36110	0.00082	0.00102	0.01227	0.86587	0.12002	0.00000	113.44435	0.00129	0.05862	0.92983	0.00534	0.00492	0.00000	0.08631	0.00089	0.01383	0.29219	0.64907	0.04403	0.00000	0.01931	0.00008	0.00032	0.30687	0.68910	0.00242	0.00121		NPEC54.Lucia.BA3.A073	41	13
20211221T170732	0	3	287.303	414.412	53516.699	0.235	1.35406	15375514.000	47.604	32704.826	173.406	0.74469	0.00020	0.00017	0.00328	0.01640	0.97995	0.00000	0.41252	0.00067	0.00057	0.00655	0.78086	0.21135	0.00000	112.66518	0.00105	0.03543	0.95803	0.00290	0.00259	0.00000	0.13034	0.00071	0.00663	0.25509	0.66548	0.07209	0.00000	0.02499	0.00012	0.00022	0.26224	0.73550	0.00148	0.00043		NPEC54.Lucia.BA4.A072	41	13
20211221T170732	0	4	353.344	421.781	71609.695	0.314	1.65727	25302856.000	37.112	37472.273	204.153	0.76106	0.00006	0.00011	0.00339	0.02767	0.96877	0.00000	0.43305	0.00108	0.00098	0.00714	0.69217	0.29863	0.00000	112.49931	0.00113	0.06032	0.92932	0.00583	0.00340	0.00000	0.13936	0.00193	0.02477	0.25794	0.60521	0.11015	0.00000	0.02098	0.00015	0.00049	0.28404	0.71403	0.00103	0.00025		NPEC54.Lucia.BA5.A071	41	13
20211221T170732	0	5	395.522	425.532	72946.625	0.320	1.29719	28851984.000	50.433	44221.344	273.082	0.73937	0.00035	0.00019	0.00351	0.02856	0.96739	0.00000	0.37884	0.00065	0.00047	0.00751	0.82128	0.17009	0.00000	114.83043	0.00092	0.04967	0.93669	0.01059	0.00213	0.00000	0.09227	0.00163	0.02407	0.30200	0.60262	0.06968	0.00000	0.01482	0.00072	0.00102	0.32625	0.66975	0.00174	0.00052		NPEC54.Lucia.BA6.A070	41	13
20211221T170732	0	6	479.492	491.271	51696.676	0.227	1.29667	24788152.000	50.461	34900.074	238.084	0.71338	0.00047	0.00030	0.00504	0.03888	0.95531	0.00000	0.39122	0.00128	0.00098	0.00729	0.86444	0.12602	0.00000	111.83321	0.00169	0.04575	0.94698	0.00263	0.00295	0.00000	0.11541	0.00049	0.00182	0.25587	0.70464	0.03719	0.00000	0.03455	0.00009	0.00035	0.25814	0.73705	0.00339	0.00098		NPEC54.Lucia.BA7.A069	41	13
20211221T170732	0	7	232.564	424.474	50184.965	0.220	1.24272	11671208.000	53.579	36076.887	120.507	0.73539	0.00013	0.00009	0.00295	0.01714	0.97969	0.00000	0.36328	0.00063	0.00079	0.00847	0.87526	0.11485	0.00000	112.17547	0.00102	0.05251	0.94032	0.00302	0.00313	0.00000	0.10146	0.00037	0.00640	0.25837	0.69376	0.04111	0.00000	0.02406	0.00000	0.00012	0.26515	0.73209	0.00217	0.00047		NPEC54.Lucia.BA8.A068	41	13
20211221T170732	0	8	292.815	408.246	66944.031	0.293	1.42788	19602188.000	44.453	39397.359	172.419	0.72579	0.00010	0.00005	0.00212	0.03160	0.96613	0.00000	0.41488	0.00054	0.00049	0.00490	0.77153	0.22254	0.00000	109.10510	0.00083	0.05343	0.94211	0.00178	0.00185	0.00000	0.17306	0.00056	0.00234	0.18853	0.72751	0.08107	0.00000	0.04177	0.00007	0.00032	0.19113	0.80656	0.00151	0.00041		NPEC54.Lucia.BA9.A067	41	13
20211221T170732	0	9	357.997	423.290	78367.180	0.343	1.58383	28055250.000	39.151	44261.316	215.995	0.72656	0.00021	0.00012	0.00426	0.03760	0.95781	0.00000	0.40470	0.00094	0.00065	0.00737	0.75289	0.23815	0.00000	110.83427	0.00124	0.06402	0.92582	0.00647	0.00244	0.00000	0.14537	0.00097	0.01211	0.24074	0.65373	0.09246	0.00000	0.02976	0.00026	0.00085	0.25285	0.74375	0.00176	0.00054		NPEC54.Lucia.BA10.A066	41	13
20211221T170732	0	10	357.246	419.839	57385.555	0.252	1.29786	20500738.000	50.397	34880.543	219.474	0.73074	0.00039	0.00018	0.00363	0.03575	0.96006	0.00000	0.37040	0.00080	0.00061	0.00843	0.83933	0.15083	0.00000	114.09580	0.00093	0.05845	0.93019	0.00753	0.00289	0.00000	0.07564	0.00238	0.02407	0.29052	0.64063	0.04240	0.00000	0.01753	0.00032	0.00102	0.31594	0.67945	0.00236	0.00090		NPEC54.Lucia.BA11.A065	41	13
20211221T170732	0	11	468.604	484.170	57915.059	0.254	1.33783	27139236.000	48.371	34835.590	366.055	0.68297	0.00029	0.00026	0.00552	0.09157	0.90237	0.00000	0.37150	0.00048	0.00057	0.01309	0.87321	0.11265	0.00000	107.03342	0.00059	0.11057	0.88372	0.00236	0.00276	0.00001	0.17051	0.00030	0.00237	0.19190	0.72075	0.08468	0.00000	0.06258	0.00010	0.00039	0.19434	0.79235	0.01173	0.00110		NPEC54.Lucia.BA12.A064	41	13
20211221T170732	0	12	225.609	430.095	67199.734	0.295	1.25116	15160874.000	53.058	45563.211	141.433	0.73636	0.00014	0.00010	0.00234	0.01644	0.98098	0.00000	0.36903	0.00022	0.00045	0.00620	0.86398	0.12914	0.00000	112.77802	0.00054	0.04696	0.94721	0.00309	0.00219	0.00000	0.10540	0.00050	0.00498	0.27287	0.67490	0.04676	0.00000	0.02055	0.00010	0.00047	0.27784	0.72026	0.00102	0.00031		NPEC54.Lucia.BA13.A063	41	13
20211221T170732	0	13	276.728	401.375	57521.875	0.252	1.39710	15917894.000	45.705	34105.312	169.925	0.73056	0.00006	0.00018	0.00371	0.03946	0.95658	0.00000	0.42373	0.00024	0.00029	0.00653	0.73071	0.26223	0.00000	110.48685	0.00037	0.05045	0.94050	0.00627	0.00242	0.00000	0.17489	0.00101	0.01282	0.18868	0.69882	0.09866	0.00000	0.03519	0.00051	0.00079	0.20124	0.79539	0.00170	0.00037		NPEC54.Lucia.BA14.A062	41	13
20211221T170732	0	14	321.713	428.899	65575.055	0.287	1.67551	21096324.000	36.642	34775.938	191.427	0.75215	0.00058	0.00021	0.00457	0.04729	0.94734	0.00000	0.43599	0.00103	0.00095	0.00889	0.66782	0.32131	0.00000	111.45157	0.00140	0.08193	0.90845	0.00522	0.00300	0.00000	0.15668	0.00248	0.03009	0.23848	0.60024	0.12871	0.00000	0.02886	0.00011	0.00072	0.27071	0.72441	0.00315	0.00090		NPEC54.Lucia.BA15.A061	41	13
